,SwisNo,UnitNo,SiteName,CountyID,County,Operator,Location,PlaceName,Zip,EnforAgent,Owner,Category,Activity,RegStatus,OpStatus,Latitude,Longitude,SiteID,UnitID
413,34-AA-0231,1,California Waste Recovery Systems MRF,34,Sacramento,California Waste Recovery Systems,"175 Enterprise Ct., Building C",Galt                                    ,95632,County of Sacramento,"KMS, LLC",Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,38.27042,-121.31191000000001,11219,11771
414,19-AR-1225,1,California Waste Services (CWS),19,Los Angeles,"California Waste Services, LLC.",621 West 152nd Street,Gardena (in City of Los Angeles)        ,90247,City of Los Angeles,"Harbor Redondo, LLC",Transfer/Processing,Large Vol CDI Debris Proc. Facility,Permitted                          ,Active,33.89463,-118.28832,10452,10686
415,43-AN-0024,1,"California Waste Solutions, Inc. (CWS)",43,Santa Clara,"California Waste Solutions, Inc. (CWS)",1005 Timothy Drive,San Jose                                ,95133,City of San Jose                        ,"Duong Family Investment, LLC",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,37.363490000000006,-121.87946000000001,10329,10527
420,19-AA-1092,1,CalTrans Altadena Maintenance LVTOp,19,Los Angeles,"CalTrans, Altadena Maintenance",21222 North Windsor Avenue,Altadena                                ,91011,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.181740000000005,-118.16803999999999,10680,11028
422,33-AA-0328,1,Caltrans Banning Maintenance Station,33,Riverside,Banning Maintenance Crew 08-711,2033 East Ramsey Sreet,Banning                                 ,92220,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.927409999999995,-116.85394,11134,11670
423,36-AA-0469,1,Caltrans Barstow Maintenance Station,36,San Bernardino,Barstow Maintenance Crew 08-631,1800 Dill Rd.,Barstow                                 ,92311,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.88586,-116.99642,11157,11694
424,36-AA-0468,1,Caltrans Beechers Maintenance Station,36,San Bernardino,Beechers Maintenance Crew 08-614,40400 Jct US 395,Boron                                   ,9351,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.9926,-117.54208999999999,11156,11693
425,19-AA-1088,1,Caltrans Bellflower Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,10147 Flora Vista,Bellflower                              ,90706,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.88264,-118.11798,10676,11024
426,30-AB-0453,1,CalTrans Bolsa Chica Maintenance Station,30,Orange,Caltrans,13072 Bolsa Chica Rd.,Westminster                             ,92683,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.77363,-118.04218999999999,11073,11600
427,13-AA-0113,1,Caltrans Brawley Transfer Operation,13,Imperial,Caltrans: El Centro Region 1,200 South Palm Ave.,Brawley                                 ,92227,County of Imperial,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,32.97728,-115.52141,11106,11634
428,36-AA-0467,1,Caltrans Cajon Maintenance Station,36,San Bernardino,Cajon Maintenance Crew 08-612,14757 State Hwy 138,West Cajon Valley                       ,92371,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.31344,-117.47878,11155,11692
429,19-AA-1087,1,CalTrans Cerritos Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,16849 Studebaker Road,Cerritos                                ,90701,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.877109999999995,-118.1002,10675,11023
430,33-AA-0330,1,Caltrans Corona Maintenance Station,33,Riverside,Corona Maintenance Crew 08-726,842 El Sobrante Rd.,Corona                                  ,91719,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.872170000000004,-117.54578000000001,11138,11674
431,30-AB-0456,1,CalTrans Costa Mesa Maintenance Station,30,Orange,Caltrans,1090 Bristol St.,Costa Mesa                              ,92626,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.67199,-117.88651000000002,11076,11603
432,36-AA-0466,1,Caltrans Dry Creek Maintenance Station,36,San Bernardino,Dry Creek Maintenance Crew 08-623,32821 State Route 18,Running Springs                         ,92382,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.20449,-117.0875,11154,11691
433,13-AA-0112,1,Caltrans El Centro Transfer Station,13,Imperial,Caltrans: El Centro Region 1,1605 Adams Ave.,El Centro                               ,92243,County of Imperial,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,32.795629999999996,-115.57256000000001,11105,11633
434,33-AA-0329,1,Caltrans Elsinore Maintenance Station,33,Riverside,Elsinore Maintenance Crew 08-716,18745 Conard Ave.,Lake Elsinore                           ,92532,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.69798,-117.33077,11135,11671
435,36-AA-0465,1,Caltrans Essex Maintenance Station,36,San Bernardino,Essex Maintenance Crew 08-635,Old Hwy 66 Box 4,Essex                                   ,92332,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.73219,-115.25016000000001,11153,11690
436,36-AA-0464,1,Caltrans Fawnskin Maintenance Station,36,San Bernardino,Fawnskin Maintenance Crew 08-621,42060 North Shore Drive,Fawnskin                                ,92333,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.2636,-116.88378,11152,11689
437,19-AA-1086,1,Caltrans Florence Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,10903 Florence Avenue,Downey                                  ,90241,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.939040000000006,-118.09908999999999,10674,11022
438,33-AA-0335,1,Caltrans Hemet Maintenance Station,33,Riverside,Hemet Maintenance Crew 08-712,1738 Juanita St.,San Jacinto                             ,92282,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.76918,-116.9686,11162,11701
439,37-AA-0983,1,Caltrans Henshaw LVTO,37,San Diego,Caltrans Region 1,27174 Highway 79,Santa Ysabel                            ,92070,County of San Diego                     ,Vista Irrigation District,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.21263,-116.71096999999999,11122,11654
440,19-AA-1083,1,CalTrans Humphreys Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,102 South Humphreys Avenue at East 3rd,East Los Angeles                        ,90022,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.03445,-118.17078000000001,10671,11019
441,33-AA-0334,1,Caltrans Indio Maintenance Station,33,Riverside,Indio Maintenance Crew 08-741,83-997 Indio Blvd.,Indio                                   ,92201,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.7264,-116.22733000000001,11161,11700
442,33-AA-0336,1,Caltrans Keen Camp Maintenance Station,33,Riverside,Keen Camp Maitnenance Crew 08-713,54999 Highway 74,Mountain Center                         ,92361,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.9257,-116.85537,11163,11702
443,19-AA-1090,1,CalTrans Lancaster Maintenance LVTOp,19,Los Angeles,"CalTrans, Altadena Maintenance",44023 Sierra Highway,Lancaster                               ,93534,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.68284,-118.13496,10678,11026
446,36-AA-0463,1,Caltrans Magana-Otrega Station,36,San Bernardino,SBD Metro Maintenance Crew 08-731,451 Slover Ave.,Bloomington                             ,92316,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.06357,-117.36617,11151,11688
447,04-AA-0029,1,CalTrans Maintenance,4,Butte,Caltrans Maintenance,2535 Notre Dame Blvd.,Chico                                   ,95928,County of Butte,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.71306,-121.795,11093,11620
448,11-AA-0035,1,Caltrans Maintenance,11,Glenn,Caltrans Maintenace,939 North Humboldt St. /County Road H,Willows                                 ,95988,County of Glenn,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.53074,-122.21318000000001,11091,11618
449,58-AA-0031,1,Caltrans Maintenance,58,Yuba,Caltrans,1001 North Beale Road,Marysville                              ,95901,County of Yuba,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,39.12738,-121.58013000000001,11097,11624
450,33-AA-0332,1,Caltrans Maintenance (Desert Center),33,Riverside,Desert Center Maintenance Crew 08-742,44-470 Ragsdale Rd.,Desert Center                           ,92239,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.712720000000004,-115.4014,11143,11679
451,34-AA-0227,1,Caltrans Maintenance (Elk Grove),34,Sacramento,Caltrans Maintenance,9087 Elkmont Way,Elk Grove                               ,95624,County of Sacramento,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,38.38304,-121.36295,11089,11616
452,34-AA-0225,1,Caltrans Maintenance (Rancho Cordova),34,Sacramento,Caltrans,11325 Sanders Dr.,Rancho Cordova                          ,95742,County of Sacramento,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,38.58747,-121.2626,11069,11596
453,34-AA-0226,1,Caltrans Maintenance (Sacramento),34,Sacramento,Caltrans,3940 Rosin Court,Sacramento                              ,95834,County of Sacramento,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,38.6398,-121.4755,11081,11608
454,33-AA-0333,1,Caltrans Maintenance Station (Blythe),33,Riverside,Blythe Maintenance Crew 08-743,431 South Broadway,Blythe                                  ,92225,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.60484,-114.59693999999999,11144,11680
455,19-AA-1117,1,Caltrans Maintenance Yard -Hawthorne,19,Los Angeles,Caltrans,11514 Felton St.,Hawthorne                               ,90250,County of Los Angeles,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.92949,-118.3657,11054,11575
456,19-AA-1119,1,Caltrans Maintenance Yard- Long Beach,19,Los Angeles,Caltrans,22101 Santa Fe Ave.,Long Beach                              ,90810,County of Los Angeles,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.82712,-118.21641000000001,11056,11577
457,19-AA-1118,1,Caltrans Maintenance Yard- Torrance,19,Los Angeles,Caltrans,18101 Bailey Dr.,Torrance                                ,90504,County of Los Angeles,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.8666,-118.34707,11055,11576
459,19-AA-1081,1,CalTrans Monrovia Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,850 East Huntington Drive,Monrovia                                ,91016,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.13881,-117.98776000000001,10669,11017
460,36-AA-0462,1,Caltrans Mt. Pass Maintenance Station,36,San Bernardino,Mt. Pass Maintenance Crew 08-632,94200 Calrke Mountain,Mountain Pass                           ,92364,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,35.4711,-115.54342,11150,11687
461,36-AA-0461,1,Caltrans Needles Maintenance Station,36,San Bernardino,Needles Maintenance Crew 08-634,800 San Clemente St.,Needles                                 ,92363,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.82481,-114.60396999999999,11149,11686
462,19-AA-1091,1,Caltrans Newhall Maintenance LVTOp,19,Los Angeles,"CalTrans, Altadena Maintenance",23922 San Fernando Road,Newhall (In Santa Clarita)              ,91321,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.374159999999996,-118.51952,10679,11027
464,30-AB-0457,1,CalTrans Orange Maintenance Station LVTO,30,Orange,Caltrans,691 S. Tustin Dr.,Orange                                  ,92866,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.77662,-117.83265,11077,11604
465,36-AA-0460,1,Caltrans Paradise Valley Station,36,San Bernardino,Paradise Valley Maintenance Crew 08-615,6690 La Contenta Rd.,Yucca Valley                            ,92284,County of San Bernardino                ,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.131820000000005,-116.37033999999998,11148,11685
466,33-AA-0331,1,Caltrans Riverside Maintenance Station,33,Riverside,Riverside Maintenance Crew 08-721,1091 Everton Place,Riverside                               ,92519,County of Riverside,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.9738,-117.33618,11139,11675
468,19-AA-1085,1,Caltrans Rosemead Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,9153 Lower Azusa,Rosemead                                ,91770,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.08835,-118.06835,10673,11021
469,30-AB-0459,1,CalTrans San Juan Capistrano LVTO,30,Orange,Caltrans,32941 Camino Capistrano,San Juan Capistrano                     ,92675,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.48475,-117.66832,11079,11606
470,30-AB-0455,1,CalTrans Santa Ana Decanting Site LVTO,30,Orange,Caltrans,2406 Bush St.,Santa Ana                               ,92701,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.76809,-117.86632,11075,11602
472,30-AB-0454,1,CalTrans Stanton Maintenance Station,30,Orange,Caltrans,8122 Katella Ave.,Stanton                                 ,92680,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.80272,-117.9897,11074,11601
473,30-AB-0458,1,CalTrans Toll Road Maintenance Station,30,Orange,Caltrans,6685 Marine Way,Irvine                                  ,92816,County of Orange                        ,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.67906,-117.7518,11078,11605
474,36-AA-0459,1,Caltrans Upland Maintenance Station,36,San Bernardino,Upland Maintenance Crew 08-734,1165 East Philadelphia St.,Ontario                                 ,91761,County of San Bernardino                ,Caltrans South Region District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.034420000000004,-117.63023000000001,11147,11684
475,19-AA-1089,1,CalTrans Valencia Maintenance LVTOp,19,Los Angeles,"CalTrans, Altadena Maintenance",28820 North THE Old Raod,Valencia (In Santa Clarita)             ,91355,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.44186,-118.60623000000001,10677,11025
476,36-AA-0458,1,Caltrans Victorville Maintenance Station,36,San Bernardino,Victorville Maintenance Crew 08-611,13693 Mariposa Rd.,Victorville                             ,92392,County of San Bernardino                ,Caltrans North District 8,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.49859,-117.32598999999999,11146,11683
477,19-AR-1239,1,Caltrans Westdale LVTOp.,19,Los Angeles,"Caltrans -District 7, West Region",2723 South Sepulveda Blvd.,Los Angeles (City)                      ,90064-3908,City of Los Angeles,California Dept. of Transportation,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.0307,-118.4318,10915,11393
478,19-AA-1082,1,CalTrans Whittier Maintenance LVTOp,19,Los Angeles,CalTrans  Maintenance,1940 South Workman Mill Road,Whittier                                ,90601,County of Los Angeles,State of California. CalTtrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.03202,-118.01969,10670,11018
479,19-AR-1245,1,Caltrans- Alameda Maintenance Station,19,Los Angeles,Caltrans,1740 East 15th St.,Los Angeles (City)                      ,90021,City of Los Angeles,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.023720000000004,-118.24093,11059,11581
480,56-AA-0161,1,Caltrans- Camarillo Maintenance Station,56,Ventura,Caltrans- Camarillo Maintenance Station,4821 Adohr Lane,Camarillo                               ,93012,County of Ventura,State Of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.20603,-119.00681000000002,11065,11590
481,56-AA-0160,1,Caltrans- Fillmore Maintenance Station,56,Ventura,Caltrans- Fillmore Maintenance Station,1261 West Ventura St.,Fillmore                                ,93015,County of Ventura,State Of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.39501,-118.93139,11064,11589
482,19-AR-1244,1,Caltrans- Hollywood Maintenance Station,19,Los Angeles,Caltrans,609 Helitrope Ave.,Los Angeles (City)                      ,90004,City of Los Angeles,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.08191,-118.29598999999999,11058,11580
483,56-AA-0163,1,Caltrans- Moorpark Maintenance Station,56,Ventura,Caltrans- Moorpark Maintenance Station,626 Fitch Ave.,Moorpark                                ,93021,County of Ventura,State Of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.284240000000004,-118.87284,11067,11592
484,56-AA-0162,1,Caltrans- Ojai Maintenance Station,56,Ventura,Caltrans- Ojai Maintenance Station,1116 Maricopa Highway,Ojai                                    ,93023,County of Ventura,State Of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.44238,-119.26118999999998,11066,11591
485,19-AA-1120,1,Caltrans- Pomona Maintenance Station,19,Los Angeles,Caltrans,2650 South Garey Ave.,Pomona                                  ,91766,County of Los Angeles,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.02446,-117.74875,11094,11621
486,56-AA-0164,1,Caltrans- Ventura Maintenance Station,56,Ventura,Caltrans- Ventura Maintenance Station,301 West Front St.,Ventura (San Buenaventura)              ,93001,County of Ventura,State Of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.27754,-119.30605,11068,11593
487,19-AA-1121,1,Caltrans-Diamond Bar Maintenance Station,19,Los Angeles,Caltrans,21420 Golden Springs Rd.,Walnut                                  ,91789,County of Los Angeles,State of California,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.00104,-117.83758,11095,11622
494,54-AA-0015,1,Camp Nelson Transfer Site,54,Tulare,Tulare County,1/4 Mi N Camp Nelson,Camp Nelson                             ,93265,County of Tulare                        ,US Forest Svc-Porterville,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,36.14808,-118.60948,4947,5030
495,40-AA-0002,1,Camp Roberts Landfill,40,San Luis Obispo,Calif Army National Guard,Perimeter Road,Camp Roberts (Mil Res)                  ,93451,CalRecycle Enforcement Agency,Office of the Adjutant,Disposal,Solid Waste Landfill,Permitted                          ,Active,35.775090000000006,-120.7343,4096,4149
496,36-AA-0317,1,Camp Rock Transfer Station,36,San Bernardino,County of San Bernardino S.W. Mgt Div,29805 Squaw Bush Road,Lucerne Valley                          ,92356,County of San Bernardino                ,County of San Bernardino S.W. Mgt Div,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,34.513729999999995,-116.83823000000001,3399,3440
503,25-AA-0007,1,Canby Solid Waste Facility,25,Modoc,County Of Modoc Public Works Dept,County Rd #82; 1 Mi N Of Canby,Canby                                   ,96015,County of Modoc,County Of Modoc Public Works Dept,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,41.22834,-120.45001,2423,2455
505,27-AA-0118,1,Cannery Row Resource Recovery Center,27,Monterey,Cannery Row Company,738 Foam Street,Monterey                                ,93940,County of Monterey                      ,Baltino's,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,36.61613,-121.9013,10957,11457
508,19-AR-1212,1,Canoga Park Street Maintenance District,19,Los Angeles,"City of Los Angeles, Bureau of St. Serv.",7453 Cangoa Avenue,Canoga Park (In Los Angeles)            ,91303,City of Los Angeles,"City of Los Angeles, Bureau of St. Serv.",Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.20621,-118.5981,10060,10074
516,37-AA-0979,1,Carlsbad LVTO,37,San Diego,Caltrans Region 2,6050 Paseo Del Norte,Carlsbad                                ,92011,County of San Diego                     ,Caltrans,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,33.12076,-117.31915,11102,11629
517,27-AA-0051,1,Carmel Valley Transfer Station,27,Monterey,Carmel Marina Corp,9 Pilot Road,Carmel Valley                           ,93924,County of Monterey                      ,Carmel Marina Corp,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,36.48178,-121.73306000000001,2496,2529
518,49-AA-0407,1,Carneros River Ranch,49,Sonoma,Carneros River Ranch,3900 Hwy 37,Petaluma                                ,94952,County of Sonoma,"BBRRBR, LLC",Composting,Composting Operation (Ag),Notification                       ,Active,38.12696,-122.4937,11244,11808
521,37-AB-0013,1,Carroll Canyon Landfill,37,San Diego,Vulcan Materials Company (VMC),10051 Black Mountain Road,San Diego                               ,92126,City of San Diego                       ,Vulcan Materials Company (VMC),Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,32.90122,-117.12467,10417,10642
523,19-AQ-0001,1,Carson Transfer Station & MRF,19,Los Angeles,"U.S.A. Waste Of Ca, Inc.                ",321 West Francisco Street,Carson                                  ,90745,County of Los Angeles,"U.S.A. Waste Of California, Inc.",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,33.85087,-118.28251999999999,1795,1826
528,23-AA-0028,1,Caspar Transfer Station,23,Mendocino,County Of Mendocino Solid Waste Division,South End Of Prairie Way,Caspar                                  ,95420,County of Mendocino                     ,County Of Mendocino Solid Waste Division,Transfer/Processing,Medium Volume Transfer/Proc Fac    ,Permitted                          ,Active,39.33945,-123.7802,2287,2318
542,48-AA-0090,1,CCL Organics LLC,48,Solano,CCL Organics LLC,1460 Goodyear Road,Benicia                                 ,94510,County of Solano,Goodyear Partners LLC,Composting,Chipping and Grinding Activity Fac./ Op.,Excluded                           ,Active,38.095,-122.10498999999999,10861,11314
543,07-AC-0044,1,CCW Wood Chipping / Grinding,7,Contra Costa,Contra Costa Waste Services,1300 Loveridge Road,Pittsburg                               ,94565,City of Pittsburg                       ,Contra Costa Waste Services,Composting,Chipping and Grinding Activity Fac./ Op.,Notification                       ,Active,38.01846,-121.8575,10821,11270
546,10-AA-0187,1,Cedar Ave. Recycling & Transfer Station,10,Fresno,"CARTS, Inc.",3457 S. Cedar Avenue,Fresno                                  ,93725,County of Fresno                        ,"FRANK CAGLIA, CAGLIA FAMILY TRUST",Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,36.68616,-119.757,10005,10005
552,27-AA-0102,1,Central Coast Compost LLC,27,Monterey,Central Coast Composting LLC,N. of Iverson Rd. and Johnson Cyn Rd.,Gonzales                                ,93926,County of Monterey                      ,Josehn Gallo Frams,Composting,Composting Operation (Green Waste) ,Permitted                          ,Active,36.52892,-121.41627,10337,10538
554,49-AA-0260,1,Central Compost Site,49,Sonoma,County of Sonoma Waste Management Agency,500 Mecham Road,Petaluma                                ,94952,County of Sonoma,County of Sonoma Public Works Dept.,Composting,Composting Facility (Green Waste)  ,Permitted                          ,Active,38.30362,-122.75242,4666,4741
555,49-AA-0001,1,Central Disposal Site,49,Sonoma,"Republic Services of Sonoma County, Inc.",500 Meacham Road,Petaluma                                ,94952,County of Sonoma,County Of Sonoma Public Works Dept,Disposal,Solid Waste Landfill,Permitted                          ,Active,38.299640000000004,-122.74951000000001,4621,4696
557,19-AR-1182,1,Central LA Recycling & TS (CLARTS),19,Los Angeles,"City of Los Angeles,Bureau of Sanitation",2201 E. Washington Boulevard,Los Angeles (City)                      ,90034,City of Los Angeles,City of Los Angeles,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,34.020179999999996,-118.23437,1866,1897
559,21-AA-0065,2,Central Marin Sanitation Agency (CMSA),21,Marin,Central Marin Sanitation Agency (CMSA),1301 Andersen Dr.,San Rafael                              ,94901,County of Marin                         ,Central Marin Sanitation Agency (CMSA),Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,37.94852,-122.49531,11231,11793
560,07-AA-0034,1,Central Processing Facility,7,Contra Costa,West County Resource Recovery Inc       ,101 Pittsburg,Richmond                                ,94801,County of Contra Costa,West County Resource Recovery Inc       ,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,37.96204,-122.36863999999998,276,280
561,19-AA-0805,1,Central Street MDY,19,Los Angeles,City Of Los Angeles Bur Of Street Maint ,1274 West Second Street                 ,Los Angeles (City)                      ,90026,City of Los Angeles,City Of Los Angeles Bur Of Street Maint ,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,34.06015,-118.25796000000001,1459,1487
562,49-AA-0404,1,Central Transfer Station,49,Sonoma,"Republic Services of Sonoma County, Inc.",500 Mecham Rd.,Petaluma                                ,94952,County of Sonoma,County of Sonoma,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,38.301109999999994,-122.74583,11060,11582
563,50-AA-0024,1,"Central Valley Agricultural Grinding,Inc",50,Stanislaus,"Barry, Mike and Konzen, Paul",5707 Langworth Road,Riverbank                               ,95361,CalRecycle Enforcement Agency,"Barry, Mike and Konzen, Paul",Composting,Composting Operation (Green Waste) ,Notification                       ,Active,37.72475,-120.90213999999999,10272,10447
564,39-AA-0017,1,Central Valley Waste Services,39,San Joaquin,Central Valley Waste Services,1333 East Turner Road,Lodi                                    ,95240,County of San Joaquin,Central Valley Waste Services,Transfer/Processing,Large Volume Transfer/Proc Facility,Permitted                          ,Active,38.14545,-121.25187,4004,4049
565,15-AA-0400,1,Central Valley Waste Water,15,Kern,Central Valley Waste Water,18613 Waterflood Rd.,Lost Hills                              ,93249,County of Kern,Northstar Energy/Surface/Mineral,Transfer/Processing,"Contaminated Soil Operation, Xfer  ",Notification                       ,Active,35.47453,-119.76168,11224,11777
567,01-AA-0314,1,"Certified Blue Recycling, Inc.",1,Alameda,"Certified Blue Recycling, Inc.",2075 Williams St.,San Leandro                             ,94577,County of Alameda,Kirsch Investments,Transfer/Processing,Small Vol CD Wood Debris ChipGrind Op,Notification                       ,Active,34.70847,-122.17809,11336,11931
568,01-AA-0315,1,"Certified Blue Recycling, Inc. (CDI Op.)",1,Alameda,"Certified Blue Recycling, Inc.",2075 William St.,San Leandro                             ,94577,County of Alameda,Kirsch Investments,Transfer/Processing,Small Vol CDI Debris Proc. Operation,Notification                       ,Active,37.70847,-122.17809,11371,11975
571,26-AA-0010,1,Chalfant Valley Transfer Station,26,Mono,County Of Mono,500 Locust Street,Chalfant                                ,93514,County of Mono,County Of Mono,Transfer/Processing,Limited Volume Transfer Operation,Notification                       ,Active,37.530770000000004,-118.35656999999999,2458,2490
572,19-AE-0004,1,Chandler`s Landfill,19,Los Angeles,Chandler Palos Verdes Sand & Gravel,26311 Palos Verde Drive East,Rolling Hills Estates                   ,90274,County of Los Angeles,Chandler Palos Verdes Sand & Gravel,Disposal,Inert Debris ENG Fill Operation,Notification                       ,Active,33.783,-118.32700000000001,1735,1766
